number,company,symbol,ytd_return
143,ABBOTT LABORATORIES,,   7.83%
144,UNIVERSAL HEALTH SERVICES B,,   7.80%
145,JPMORGAN CHASE + CO,,   7.80%
146,BATH + BODY WORKS INC,,   7.74%
147,IRON MOUNTAIN INC,,   7.70%
148,NORFOLK SOUTHERN CORP,,   7.69%
149,CITIGROUP INC,,   7.62%
150,ACCENTURE PLC CL A,,   7.57%
151,ELEVANCE HEALTH INC,,   7.42%
152,MARSH + MCLENNAN COS,,   7.40%
153,AMERIPRISE FINANCIAL INC,,   7.40%
154,INTERCONTINENTAL EXCHANGE IN,,   7.38%
155,NEWS CORP   CLASS A,,   7.37%
156,EQUIFAX INC,,   7.26%
157,HOME DEPOT INC,,   7.23%
158,GENUINE PARTS CO,,   7.16%
159,AUTOZONE INC,,   7.15%
160,COPART INC,,   7.14%
161,DOVER CORP,,   7.13%
162,LOEWS CORP,,   7.11%
163,NEWS CORP   CLASS B,,   7.00%
164,RTX CORP,,   6.99%
165,IQVIA HOLDINGS INC,,   6.96%
166,PACKAGING CORP OF AMERICA,,   6.86%
167,ROSS STORES INC,,   6.83%
168,CORNING INC,,   6.77%
169,JACK HENRY + ASSOCIATES INC,,   6.74%
170,RESMED INC,,   6.55%
171,VERTEX PHARMACEUTICALS INC,,   6.53%
172,HENRY SCHEIN INC,,   6.42%
173,RAYMOND JAMES FINANCIAL INC,,   6.41%
174,STERIS PLC,,   6.30%
175,INTUIT INC,,   6.21%
176,BANK OF NEW YORK MELLON CORP,,   6.21%
177,ASSURANT INC,,   6.20%
178,CHURCH + DWIGHT CO INC,,   6.20%
179,DAYFORCE INC,,   6.17%
180,THERMO FISHER SCIENTIFIC INC,,   6.16%
181,NXP SEMICONDUCTORS NV,,   6.14%
182,AVERY DENNISON CORP,,   6.01%
183,CLOROX COMPANY,,   5.91%
184,TJX COMPANIES INC,,   5.78%
185,AUTODESK INC,,   5.70%
186,YUM  BRANDS INC,,   5.66%
187,CHARLES RIVER LABORATORIES,,   5.57%
188,TYLER TECHNOLOGIES INC,,   5.52%
189,TARGET CORP,,   5.43%
190,WESTROCK CO,,   5.30%
191,VERIZON COMMUNICATIONS INC,,   5.28%
192,COGNIZANT TECH SOLUTIONS A,,   5.27%
193,AMERICAN INTERNATIONAL GROUP,,   5.27%
194,ORACLE CORP,,   5.25%
195,GARMIN LTD,,   5.20%
196,CINTAS CORP,,   5.19%
197,GENERAL DYNAMICS CORP,,   5.14%
198,AXON ENTERPRISE INC,,   5.13%
199,GLOBAL PAYMENTS INC,,   4.98%
200,MOTOROLA SOLUTIONS INC,,   4.94%
